ACCESSION	GROUP.ROW	LATTITUDE	LONGTITUDE	COLOUR
WB-286	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-288	Cultivar 2-row	44.1	21.1	"deepskyblue1"
WB-3	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-30	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-31	Cultivar 2-row	39.2	32	"deepskyblue1"
WB-313	Cultivar 2-row	56.3	9.1	"deepskyblue1"
WB-314	Cultivar 2-row	56.5	13.5	"deepskyblue1"
WB-315	Cultivar 2-row	59.2	24.7	"deepskyblue1"
WB-316	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-37	Cultivar 2-row	49.1	4.6	"deepskyblue1"
WB-38	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-39	Cultivar 2-row	41.2	15.8	"deepskyblue1"
WB-4	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-44	Cultivar 2-row	48.507	-111.856	"deepskyblue1"
WB-5	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-510	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-512	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-6	Cultivar 2-row	56.3	-3.7	"deepskyblue1"
WB-62	Cultivar 2-row	31.779	35.224	"deepskyblue1"
WB-8	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-9	Cultivar 2-row	48.5	11.4	"deepskyblue1"
WB-1	Cultivar 6-row	47.6	30.6	"blue"
WB-10	Cultivar 6-row	56.3	-3.7	"blue"
WB-101	Cultivar 6-row	48.507	-111.856	"blue"
WB-11	Cultivar 6-row	56.3	-3.7	"blue"
WB-12	Cultivar 6-row	48.5	11.4	"blue"
WB-124	Cultivar 6-row	30.573	104.067	"blue"
WB-128	Cultivar 6-row	43.817	125.324	"blue"
WB-13	Cultivar 6-row	48.5	11.4	"blue"
WB-131	Cultivar 6-row	43.817	125.324	"blue"
WB-132	Cultivar 6-row	43.817	125.324	"blue"
WB-134	Cultivar 6-row	26.912	75.787	"blue"
WB-137	Cultivar 6-row	26.912	75.787	"blue"
WB-139	Cultivar 6-row	26.912	75.787	"blue"
WB-14	Cultivar 6-row	48.5	11.4	"blue"
WB-15	Cultivar 6-row	48.5	11.4	"blue"
WB-160	Cultivar 6-row	21.019	-101.257	"blue"
WB-162	Cultivar 6-row	48.507	-111.856	"blue"
WB-164	Cultivar 6-row	5.454	-73.362	"blue"
WB-166	Cultivar 6-row	53.544	-113.491	"blue"
WB-169	Cultivar 6-row	48.507	-111.856	"blue"
WB-170	Cultivar 6-row	53.544	-113.491	"blue"
WB-171	Cultivar 6-row	-19.05	-65.25	"blue"
WB-191	Cultivar 6-row	49.1	4.6	"blue"
WB-20	Cultivar 6-row	41.2	15.8	"blue"
WB-21	Cultivar 6-row	48.5	11.4	"blue"
WB-22	Cultivar 6-row	48.5	11.4	"blue"
WB-23	Cultivar 6-row	48.5	11.4	"blue"
WB-24	Cultivar 6-row	49.1	4.6	"blue"
WB-247	Cultivar 6-row	61.6	22.7	"blue"
WB-248	Cultivar 6-row	61.6	22.7	"blue"
WB-249	Cultivar 6-row	52.9	6.3	"blue"
WB-25	Cultivar 6-row	49.1	4.6	"blue"
WB-251	Cultivar 6-row	52	40	"blue"
WB-26	Cultivar 6-row	41.2	15.8	"blue"
WB-266	Cultivar 6-row	47.6	30.6	"blue"
WB-267	Cultivar 6-row	39.627	66.975	"blue"
WB-27	Cultivar 6-row	49.1	4.6	"blue"
WB-274	Cultivar 6-row	52	40	"blue"
WB-278	Cultivar 6-row	47.6	30.6	"blue"
WB-284	Cultivar 6-row	47.6	30.6	"blue"
WB-287	Cultivar 6-row	48.2	15.8	"blue"
WB-289	Cultivar 6-row	35.126	33.43	"blue"
WB-32	Cultivar 6-row	48.5	11.4	"blue"
WB-359	Cultivar 6-row	31.779	35.224	"blue"
WB-43	Cultivar 6-row	48.507	-111.856	"blue"
WB-53	Cultivar 6-row	-44.397	171.255	"blue"
131-P1356061	Landrace 2-row	9.03	38.74	"greenyellow"
38-PI356226	Landrace 2-row	34.25	-6.48	"greenyellow"
BCC003	Landrace 2-row	34.633	65.75	"greenyellow"
BCC105	Landrace 2-row	31.283	35.833	"greenyellow"
BCC107	Landrace 2-row	33.933	36.1	"greenyellow"
BCC1481	Landrace 2-row	61.783	34.35	"greenyellow"
BCC1487	Landrace 2-row	42.975	47.502	"greenyellow"
BCC1589	Landrace 2-row	37.933	12.733	"greenyellow"
BCC190	Landrace 2-row	36.833	40.072	"greenyellow"
BCC192	Landrace 2-row	36.383	38.96	"greenyellow"
BCC195	Landrace 2-row	33.817	36.544	"greenyellow"
BCC197	Landrace 2-row	36.117	36.463	"greenyellow"
BCC42	Landrace 2-row	34.217	-1.25	"greenyellow"
FT226	Landrace 2-row	31.779	35.224	"greenyellow"
FT230	Landrace 2-row	35.033	45.717	"greenyellow"
FT380	Landrace 2-row	31.35	27.233	"greenyellow"
FT411	Landrace 2-row	46.314	7.851	"greenyellow"
FT414	Landrace 2-row	15.36	44.21	"greenyellow"
FT520	Landrace 2-row	42.819	75.281	"greenyellow"
FT525	Landrace 2-row	37.029	37.99	"greenyellow"
FT549	Landrace 2-row	31.717	35.8	"greenyellow"
FT553	Landrace 2-row	31.767	35.233	"greenyellow"
HOR10280	Landrace 2-row	26.803	13.533	"greenyellow"
HOR10410	Landrace 2-row	52.406	21.332	"greenyellow"
HOR10610	Landrace 2-row	36.443	43.257	"greenyellow"
HOR10761	Landrace 2-row	5.633	38.233	"greenyellow"
HOR10782	Landrace 2-row	41.902	13.883	"greenyellow"
HOR11317	Landrace 2-row	31.716	35.187	"greenyellow"
HOR12762	Landrace 2-row	38.283	67.9	"greenyellow"
HOR1431	Landrace 2-row	34.86	71.14	"greenyellow"
HOR154	Landrace 2-row	31.417	73.083	"greenyellow"
HOR1707	Landrace 2-row	35.91	71.52	"greenyellow"
HOR203	Landrace 2-row	50.099	36.487	"greenyellow"
HOR2351	Landrace 2-row	34.765	113.65	"greenyellow"
HOR2777	Landrace 2-row	37.633	47.8	"greenyellow"
HOR2785	Landrace 2-row	35.6	51.867	"greenyellow"
HOR2792	Landrace 2-row	30.517	50.85	"greenyellow"
HOR2808	Landrace 2-row	33.567	50.85	"greenyellow"
HOR2829	Landrace 2-row	34.583	48.817	"greenyellow"
HOR2867	Landrace 2-row	37.633	58.983	"greenyellow"
HOR354	Landrace 2-row	47.983	9.117	"greenyellow"
HOR3950	Landrace 2-row	47.006	13.167	"greenyellow"
HOR4469	Landrace 2-row	32.685	36.033	"greenyellow"
HOR4720	Landrace 2-row	56.648	23.714	"greenyellow"
HOR4724	Landrace 2-row	40.183	44.517	"greenyellow"
HOR5702	Landrace 2-row	7.667	36.833	"greenyellow"
