ACCESSION	CLADE	GROUP.NUM	GROUP.ROW	CATEGORY	ROWTYPE	SOURCE	COUNTRY	LATTITUDE	LONGTITUDE	"PCoA, Axis 1"	"PCoA, Axis 2"	"PCoA, Axis 3"	CLADE.OLD	VARIETY	OTHER.ACC	HABIT
FT657	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	29.608	52.525	0.012967	-0.0115	0.00071149	11			
FT658	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iraq	35.367	43.200	0.011493	-0.0065431	0.0043654	8			
FT660	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	36.750	45.700	0.015906	-0.0039761	0.011734	3			
FT661	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	38.500	47.200	0.016348	-0.0031968	0.008852	3			
FT670	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	36.992	36.932	0.019593	0.0037019	0.0069937	3			
FT671	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Lebanon	33.833	35.917	0.014169	0.0046649	-0.00045222	10			
FT730	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.329	37.275	0.016654	0.0010459	0.0089378	3			
FT731	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.424	37.281	0.017513	0.0057772	0.0067687	10			
FT733	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	36.256	36.467	0.014378	0.00067761	0.00030468	10			
FT734	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.410	38.779	0.023282	-0.00012803	0.009839	10			
FT735	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.792	39.955	0.0212	-0.0034148	0.010772	10			
FT741	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.681	41.453	0.016453	-0.0013983	0.013709	3			
FT746	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	36.979	36.728	0.017455	0.003371	0.0039977	3			
FT747	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	36.866	36.952	0.014566	0.0015399	0.0029704	3			
FT748	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.315	37.735	0.021827	0.0038494	0.0065606	10			
FT75	7	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.437	34.888	0.013483	0.0079674	-0.012217	6			
FT754	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	36.950	40.001	0.019944	-0.0073878	0.013175	3			
FT871	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Uzbekistan	40.071	67.693	0.022803	-0.0081015	-0.000069917	11			
FT873	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Uzbekistan	38.311	66.625	0.020786	-0.0074763	0.015805	3			
FT875	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Uzbekistan	38.075	67.436	0.023374	-0.0049626	0.014631	3			
FT878	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	34.443	46.019	0.015976	-0.0077658	0.011818	3			
FT879	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	34.526	45.943	0.015362	-0.0091106	0.011	3			
FT880	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	35.272	47.029	0.017961	-0.0065299	0.017626	3			
FT885	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Tajikistan	38.624	68.614	0.021171	-0.0067389	0.019541	3			
FT886	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Tajikistan	38.342	69.239	0.020247	-0.010638	0.019026	3			
HID004	10	5	Spontaneum	Spontaneum	Spont	Spont	Iraq	35.580	43.240	0.022084	-0.0095588	0.020601	10			
HID055	9	5	Spontaneum	Spontaneum	Spont	Spont	Turkey	36.850	40.030	0.019388	0.013112	-0.0074671	11			
HID062	4	5	Spontaneum	Spontaneum	Spont	Spont	Turkey	36.850	37.150	0.01703	0.0047431	0.0080229	3			
HID069	3	5	Spontaneum	Spontaneum	Spont	Spont	Turkey	36.850	37.520	0.017946	-0.0040543	0.015182	3			
HID080	10	5	Spontaneum	Spontaneum	Spont	Spont	Turkey	37.320	37.490	0.016843	0.0038225	0.0072935	10			
HID294	3	5	Spontaneum	Spontaneum	Spont	Spont	Iran	33.110	46.170	0.02054	-0.0046276	0.021026	3		HID294	
HID358	10	5	Spontaneum	Spontaneum	Spont	Spont	Turkey	37.890	39.900	0.019707	-0.00095122	0.0053303	10		HID358	
HOR10103	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Libya	25.916	13.918	-0.0094449	0.0017907	-0.00016138	1			
HOR10130	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Libya	30.133	9.500	-0.010584	0.0042663	0.00095908	1			
HOR10152	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Libya	26.226	14.883	-0.0076691	0.0034819	-0.0017961	1			
HOR10280	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Libya	26.803	13.533	-0.011744	0.0035595	0.0019325	1		HOR10280	Spring
HOR10350	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Ethiopia	8.150	36.470	-0.0044287	-0.0068098	-0.0029854	1			
HOR10360	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Georgia	43.050	42.717	-0.0072982	-0.0036314	-0.0012269	1			
HOR10410	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Poland	52.406	21.332	-0.0070897	-0.0001455	0.002988	1			
HOR10551	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Italy	37.579	13.752	-0.010096	0.0060214	0.00024438	1			
HOR10609	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Iraq	36.166	43.257	0.00058538	-0.014604	-0.0077617	5			
HOR10610	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Iraq	36.443	43.257	-0.003764	-0.0013739	0.004007	1			
HOR10627	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Iraq	34.833	42.000	0.0021421	-0.014498	-0.0087484	5			
HOR10705	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Georgia	42.177	44.729	-0.0095676	0.00086042	0.0020955	1			
HOR10761	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Ethiopia	5.633	38.233	-0.0047393	-0.0072483	-0.0037902	1		HOR10761	Spring
HOR10782	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Italy	41.902	13.883	-0.010752	0.0010605	0.0019217	1			
HOR11317	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Israel	31.716	35.187	-0.00056743	0.004962	0.00030768	10			
HOR1133	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	France	46.217	2.214	-0.01475	0.0065409	0.0032866	1			
HOR11403	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	India	31.100	77.167	0.0034564	-0.014393	-0.011035	5			
HOR1192	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Turkey	38.293	29.006	-0.013065	0.0032129	0.0021868	1			
HOR12762	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Uzbekistan	38.283	67.900	-0.0068161	0.0073629	0.0025937	1			
HOR12830	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Syria	36.701	38.087	-0.0081335	0.0064453	0.0013695	1			
HOR13416	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Morocco	31.050	-8.833	-0.0122	0.0047392	-0.00013605	1			
HOR14153	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Chad	12.043	18.792	-0.005592	0.0032892	0.00011782	1			
HOR14279	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Eritrea	14.698	39.429	-0.0099913	0.0060321	-0.0006714	1			
HOR1431	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Afghanistan	34.860	71.140	-0.0004876	-0.0093708	-0.0062349	1			
HOR1463	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Afghanistan	35.910	71.310	0.0046931	-0.014465	-0.013325	5			
HOR154	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Pakistan	31.417	73.083	-0.0071839	-0.0024416	0.00052381	1			
HOR1707	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Afghanistan	35.910	71.520	-0.0043194	-0.0024402	-0.0010932	1			
HOR1804	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Afghanistan	35.000	71.150	0.0040702	-0.018237	-0.012957	5			
HOR1842	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Afghanistan	36.270	72.380	0.0037324	-0.019654	-0.014283	5			
HOR203	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Ukraine	50.099	36.487	-0.012033	-0.0018635	0.0018444	1			
HOR2351	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	China	34.765	113.650	-0.0072298	-0.00057462	0.0043297	1			
HOR2458	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	China	29.650	91.100	-0.00069936	-0.0085681	-0.0075823	5			
HOR2462	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	China	29.430	94.450	0.0046413	-0.018284	-0.012051	5			
HOR2465	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	China	29.650	91.100	0.0044776	-0.015657	-0.012986	5			
HOR2766	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Libya	24.050	23.310	-0.0099451	0.0017626	-0.0016208	1			
HOR2777	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Iran	37.633	47.800	-0.0011857	-0.010145	-0.0064101	1			
HOR2785	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Iran	35.600	51.867	-0.0053001	-0.0030753	-0.0010815	1			
HOR2792	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Iran	30.517	50.850	-0.0020651	-0.0032613	-0.00033751	1			
HOR2800	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Iran	31.533	48.817	-0.0015941	-0.012897	-0.0057229	1			
HOR2808	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Iran	33.567	50.850	-0.0045498	-0.0024163	0.00036818	1			
HOR2829	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Iran	34.583	48.817	-0.0053097	-0.0025342	-0.00088588	1			
HOR2867	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Iran	37.633	58.983	-0.0045007	-0.0017574	-0.00083158	1			
HOR354	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Germany	47.983	9.117	-0.0090942	0.0011097	0.00202	1			
HOR383	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Bulgaria	43.854	25.959	-0.0081756	0.0044789	0.002828	1			
HOR3938	2	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	28.210	-16.780	-0.011893	0.006402	-0.00089739	2			
HOR3950	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Austria	47.006	13.167	-0.0062859	-0.0017291	0.00052058	1			
HOR396	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Bulgaria	42.314	27.767	-0.011166	0.0016411	0.0027367	1			
HOR4469	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Syria	32.685	36.033	-0.0022905	0.004715	-0.0017271	10			
HOR454	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Turkey	40.410	27.917	-0.0076004	0.00058482	0.0016753	1			
HOR4720	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Latvia	56.648	23.714	-0.009956	0.0024605	0.0037858	1			
HOR4724	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Armenia	40.183	44.517	-0.0067198	-0.0030382	-0.00027339	1			
HOR5702	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Ethiopia	7.667	36.833	-0.0044064	-0.0072861	-0.0037388	1			
HOR6360	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Ethiopia	7.467	36.883	-0.0043342	-0.0064314	-0.004278	1			
HOR713	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Greece	37.667	22.183	-0.011167	0.0053067	0.0014898	1			
HOR7380	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Czech Republic	49.520	18.832	-0.010943	0.0025446	0.003335	1			
HOR742	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Bosnia and Herzegovina	43.867	18.417	-0.0086175	0.0025492	0.0027233	1			
HOR7436	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Slovakia	49.357	18.893	-0.0071523	0.0011077	0.0005462	1			
HOR756	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Albania	40.788	20.189	-0.010681	0.0019593	0.0044003	1			
HOR758	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Macedonia	42.004	21.452	-0.0095264	0.0019636	0.0038137	1			
HOR7969	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Turkey	38.000	37.000	-0.0083991	0.000036045	0.0023762	1			
HOR8113	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Turkey	39.250	29.500	-0.0064909	0.00043276	0.0015811	1			
HOR8455	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Iraq	30.500	47.817	-0.0053047	-0.014868	-0.0041802	1			
HOR8635	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Slovakia	48.528	22.141	-0.010432	0.0011938	0.004618	1			
HOR8658	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Egypt	31.193	29.904	-0.00062253	0.0047876	-0.00033816	10			
HOR8826	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Poland	49.421	20.959	-0.0084982	0.00036669	0.00084763	1			
HOR8827	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Poland	49.633	20.600	-0.0031508	-0.0076829	-0.0041905	1			
HOR8842	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	37.573	-6.753	-0.010788	0.004433	0.00020985	1			
HOR902	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Turkey	41.293	36.331	-0.0059135	0.00023872	0.0022805	1			
HOR937	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Greece	39.074	21.824	-0.011089	-0.0019873	0.0015716	1			
HOR9453	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Romania	46.777	23.600	-0.0096093	0.0023409	0.0033697	1			
HOR9607	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Georgia	42.300	43.350	-0.0032404	-0.0026974	-0.0012968	1			
HOR9827	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Libya	32.687	13.983	-0.011316	0.0057193	0.0006016	1			
HOR9919	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	France	45.432	6.306	-0.0082965	0.0025163	0.004503	1			
SBCC002	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	42.850	-2.670	-0.0097669	0.0041979	0.0032071	1			
SBCC003	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	40.630	-3.150	-0.010198	0.0032006	-0.00027124	1			
SBCC014	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	37.530	-5.070	-0.0090478	0.0059366	-0.0018617	1			
SBCC095	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	40.980	-6.850	-0.0081757	0.0037544	-0.00089754	1			
SBCC144	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	28.800	-17.810	-0.0099509	0.0045117	-0.00085026	1			
SBCC147	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Spain	43.070	-4.770	-0.0109	0.0010683	0.00268	1			
SBCC158	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Spain	41.980	1.520	-0.010954	0.0032163	0.0020873	1			
WB-029	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	France	49.100	4.600	-0.00777	0.0023017	0.0034013	1	Tremois		Spring
WB-057	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Germany	48.500	11.400	-0.010863	0.00020041	0.004135	1		HOR 3271	Spring
WB-1	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	Ukraine	47.600	30.600	-0.010418	0.00073353	0.0016622	1			
WB-10	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	United Kingdom	56.300	-3.700	-0.0081939	0.0017583	0.00091722	1			
WB-100	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Germany	48.500	11.400	-0.011367	0.0019503	0.0054782	1	Barke IPK (Seq)		Spring
WB-101	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	USA	48.507	-111.856	-0.0051999	0.00036138	0.00026895	1	Morex IPK (Seq)		Spring
WB-102	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Germany	48.500	11.400	-0.011218	0.0014261	0.0043941	1	Beatrix-gebeizt		Spring
WB-103	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Germany	48.500	11.400	-0.013399	0.0010793	0.003889	1	Djamila-gebeizt		Spring
WB-104	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Austria 	48.200	15.800	-0.0094314	-0.000064742	0.0040065	1	Eunova-gebeizt		Spring
WB-105	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Germany	48.500	11.400	-0.012191	0.0016092	0.0052256	1	Streif-gebeizt		Spring
WB-106	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Germany	48.500	11.400	-0.011769	0.00080275	0.0022282	1	Ursa-gebeizt		Spring
WB-107	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Austria 	48.200	15.800	-0.011706	-0.00026947	0.0033226	1	Victoriana-gebeizt		Spring
WB-108	1	3	Landrace 2-row	Landrace	2	WHEALBI Landrace	Syria	35.900	39.020	-0.0038622	0.00067913	0.0054155	1	Tadmor-IPK		Spring
WB-109	1	3	Landrace 2-row	Landrace	2	WHEALBI Landrace	Syria	35.900	39.020	-0.0062915	0.0024963	0.0030179	1	Arta-IPK		Spring
WB-11	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	United Kingdom	56.300	-3.700	-0.010504	0.0037733	0.0035158	1			
WB-111	1	3	Landrace 2-row	Landrace	2	WHEALBI Landrace	Iraq	36.444	43.257	-0.01528	0.0019471	0.0012986	1	IQ 70061	BCC 0093	Facultative
WB-112	1	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Libya	26.470	14.360	-0.010353	0.0034044	-0.0021881	1	IG 128216	BCC 0118	facultative?
WB-113	1	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Morocco	31.370	-5.790	-0.0085189	0.0046573	-0.0026278	1	IG 31903	BCC 0126	facultative?
WB-114	1	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Morocco	33.633	-6.283	-0.008498	0.0062796	-0.00097974	1	IG 31925	BCC 0129	facultative?
WB-115	1	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Morocco	34.433	-4.650	-0.0098815	0.0057326	0.00038235	1	IG 32019	BCC 0149	Winter
WB-116	1	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Morocco	34.950	2.330	-0.014326	0.0053858	-0.0003927	1	IG 32086	BCC 0161	facultative?
WB-117	1	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Oman	22.667	57.333	-0.0084949	0.0030734	0.0021924	1	Shayir IG 32973	BCC 0167	facultative?
WB-118	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Pakistan	36.130	74.230	0.0044743	-0.018748	-0.015191	5	IG 128104	BCC 0173	facultative?
WB-119	1	3	Landrace 2-row	Landrace	2	WHEALBI Landrace	Syria	36.833	40.072	-0.0026684	-0.00087291	0.0039313	1	IG 31424	BCC 0190	facultative?
WB-12	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	Germany	48.500	11.400	-0.0090477	0.0037906	0.0044993	1			
WB-120	1	3	Landrace 2-row	Landrace	2	WHEALBI Landrace	Syria	36.390	38.980	-0.010716	-0.00063345	0.0031916	1	IG 31444	BCC 0192	facultative?
WB-121	10	3	Landrace 2-row	Landrace	2	WHEALBI Landrace	Syria	33.817	36.544	-0.0033274	0.0022397	0.0015066	10	IG 31513	BCC 0195	facultative?
WB-122	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Tajikistan	39.167	70.866	0.0051466	-0.014553	-0.015781	5	K-14943	BCC 0218	facultative?
WB-123	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Tajikistan	38.540	68.780	-0.0091432	0.00042371	-0.0011621	5	K-10628	BCC 0219	facultative?
WB-124	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	China	30.573	104.067	-0.011091	0.0049927	0.000093139	1	Xin Mai 1 Hao	BCC 0421	Spring
WB-125	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	China	30.573	104.067	0.00091404	-0.017534	-0.01316	5	Gang Tuo Qing Ke 1 hao	BCC 0423	Spring
WB-126	1	3	Landrace 2-row	Landrace	2	WHEALBI Breeding/research material	China	30.700	112.500	-0.0079402	0.00017765	0.0044894	1	E Dong 85-1	BCC 0427	Spring
WB-127	1	3	Landrace 2-row	Landrace	2	WHEALBI Breeding/research material	China	43.640	115.660	-0.0090911	0.00089277	0.0036587	1	Fu 8	BCC 0432	Spring
WB-128	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	China	43.817	125.324	-0.0063772	0.00092008	0.0019112	1	Vladivostok	BCC 0436	Spring
WB-129	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	China	43.817	125.324	-0.00083459	-0.012218	-0.0037807	5	Manchuria Native 1	BCC 0438	Spring
WB-13	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	Germany	48.500	11.400	-0.0087004	0.00098843	0.0013847	1			
WB-130	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	China	43.817	125.324	0.00053249	-0.020513	-0.010944	5	Fengtien Black	BCC 0439	Spring
WB-131	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	China	43.817	125.324	-0.0066838	0.0021784	0.0029538	1	Harbin Native	BCC 0446	Spring
WB-132	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	China	43.817	125.324	-0.0080155	0.00012061	0.0018969	1	Mulan	BCC 0447	Spring
WB-133	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	China	36.067	120.383	0.002058	-0.021344	-0.0118	5	Itu Native	BCC 0502	Spring
WB-134	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	India	26.912	75.787	-0.007132	-0.0045476	-0.0040634	1	Rajkiran	BCC 0524	Spring
WB-135	6	4	Landrace 6-row	Landrace	6	WHEALBI Breeding/research material	India	28.670	77.220	-0.0012018	-0.014209	-0.0073471	5	C-138	BCC 0526	Spring
WB-136	1	4	Landrace 6-row	Landrace	6	WHEALBI Breeding/research material	India	28.670	77.220	-0.0081084	-0.0038903	-0.003922	1	BHS169	BCC 0527	Spring
WB-137	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	India	26.912	75.787	-0.0085768	0.0041623	-0.000057685	1	Ratna	BCC 0532	Spring
WB-138	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	India	26.912	75.787	-0.0011076	-0.019556	-0.0077174	5	Lakhan	BCC 0533	Spring
WB-139	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	India	26.912	75.787	-0.0090416	-0.0021233	-0.00099576	1	PL 172	BCC 0535	Spring
WB-14	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	Germany	48.500	11.400	-0.0091003	0.00012707	0.0024797	1			
WB-140	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	India	26.912	75.787	-0.0040792	-0.016401	-0.0080834	5	Rewari	BCC 0538	Spring
WB-141	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	India	26.912	75.787	0.0027773	-0.022342	-0.01096	5	Churtanchan 1	BCC 0551	Spring
WB-142	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	India	26.912	75.787	-0.00078625	-0.019132	-0.01011	5	Pandukeshwar 2	BCC 0577	Spring
WB-143	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	India	26.912	75.787	-0.0043997	-0.016367	-0.0095629	5	Bijoria	BCC 0579	Spring
WB-144	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	India	26.912	75.787	-0.0045962	-0.02078	-0.011927	5	Bana	BCC 0581	Spring
WB-145	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	Japan	36.649	138.195	0.0045663	-0.021987	-0.010938	5	Dairokkaku	BCC 0625	Spring
WB-146	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	Japan	36.649	138.195	0.0039782	-0.019968	-0.011382	5	Nigatsuko	BCC 0642	Spring
WB-147	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	Republic of Korea	35.718	127.153	-0.0010094	-0.011111	-0.0077469	5	Buhobori	BCC 0666	Spring
WB-148	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	Republic of Korea	35.718	127.153	-0.0015209	-0.010417	-0.006366	5	Namhaebori	BCC 0667	Spring
WB-149	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Republic of Korea	35.718	127.153	-0.010214	-0.0010585	0.002354	1	Hyanmaeg	BCC 0675	Spring
WB-15	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	Germany	48.500	11.400	-0.0074601	0.0011008	0.0032456	1			
WB-150	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	Republic of Korea	35.461	128.213	0.0024025	-0.017303	-0.0094102	5	Tongyeong Covered 1	BCC 0695	Spring
WB-151	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	Republic of Korea	38.201	125.478	-0.0035278	-0.0065939	-0.0016147	5	Sariweon Yugmobori 1	BCC 0718	Spring
WB-152	6	4	Landrace 6-row	Landrace	6	WHEALBI Cultivar	Republic of Korea	35.461	128.213	0.0029113	-0.019165	-0.011058	5	Gupo Covered 2	BCC 0729	Spring
WB-153	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Nepal	27.720	85.320	-0.0026309	-0.016412	-0.010027	5	Gho 4	BCC 0732	Spring
WB-154	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Nepal	28.230	84.870	-0.004175	-0.018416	-0.012146	5	Macha Khola 1	BCC 0745	Spring
WB-155	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Nepal	28.840	83.780	0.001508	-0.017646	-0.015358	5	Kagbeni 2	BCC 0759	Spring
WB-156	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Nepal	28.240	83.980	-0.0022683	-0.015125	-0.0086989	5	Ulleri 10	BCC 0766	Spring
WB-157	6	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Nepal	28.240	83.960	-0.0038103	-0.016212	-0.0069821	5	Ulleri 20	BCC 0768	Spring
WB-158	1	4	Landrace 6-row	Landrace	6	WHEALBI Landrace	Nepal	27.700	85.330	-0.01088	0.0038136	0.0026668	1	TKN24b	BCC 0776	Spring
WB-159	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Canada	53.544	-113.491	-0.0090659	-0.00088518	0.0039869	1	AC Oxbow	BCC 0801	Spring
WB-160	1	2	Cultivar 6-row	Cultivar	6	WHEALBI Cultivar	Mexico	21.019	-101.257	-0.011619	-0.0020962	-0.0010188	1	Aliso	BCC 0806	Spring
WB-161	1	1	Cultivar 2-row	Cultivar	2	WHEALBI Cultivar	Mexico	21.019	-101.257	-0.010603	0.0012043	0.0051814	1	Arupo	BCC 0812	Spring
